Time,電圧上限値,電圧下限値,bus1の電圧,bus1の電圧上限違反値,bus1の電圧下限違反値,bus1の有効電力,bus1の電圧降下,bus2の電圧,bus2の電圧上限違反値,bus2の電圧下限違反値,bus2の有効電力,bus2の電圧降下,bus3の電圧,bus3の電圧上限違反値,bus3の電圧下限違反値,bus3の有効電力,bus3の電圧降下
2003/4/1 16:30,107.0,95.0,99.7999705784099,0,0,4.973799150320701e-14,-2.9421590099332207e-05,99.79982624690965,0,0,1.0658141036401503e-14,-0.0001443315002518375,99.79975030501873,0,0,8.881784197001252e-15,-7.594189091264525e-05
2003/4/1 17:00,107.0,95.0,99.7999705784099,0,0,6.712514377091232e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.750465837967416e-15,-0.00014433150026604835,99.79975030501872,0,0,6.7810011586197965e-15,-7.594189091264525e-05
2003/4/1 17:30,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7308478633020034e-15,-0.00014433150026604835,99.79975030501872,0,0,6.7872987651343256e-15,-7.594189091264525e-05
2003/4/1 18:00,107.0,95.0,99.7999705784099,0,0,-5.684341886080802e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.3290705182007514e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 18:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7477358206574085e-15,-0.00014433150026604835,99.79975030501872,0,0,6.78548271603287e-15,-7.594189091264525e-05
2003/4/1 19:00,107.0,95.0,99.7999705784099,0,0,-4.263256414560601e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.3290705182007514e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 19:30,107.0,95.0,99.7999705784099,0,0,-5.684341886080802e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-4.973799150320701e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.4868995751603507e-14,-7.594189091264525e-05
2003/4/1 20:00,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.7668941699274515e-15,-0.00014433150026604835,99.79975030501872,0,0,6.742642721799697e-15,-7.594189091264525e-05
2003/4/1 20:30,107.0,95.0,99.7999705784099,0,0,6.712514377104157e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.77004528438874e-15,-0.00014433150026604835,99.79975030501872,0,0,6.744345627812186e-15,-7.594189091264525e-05
2003/4/1 21:00,107.0,95.0,99.7999705784099,0,0,-5.684341886080802e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.3290705182007514e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 21:30,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.769324745277237e-15,-0.00014433150026604835,99.79975030501872,0,0,6.744318110421263e-15,-7.594189091264525e-05
2003/4/1 22:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.771463768341334e-15,-0.00014433150026604835,99.79975030501872,0,0,6.7408574703902054e-15,-7.594189091264525e-05
2003/4/1 22:30,107.0,95.0,99.7999705784099,0,0,-4.263256414560601e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-4.973799150320701e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
2003/4/1 23:00,107.0,95.0,99.7999705784099,0,0,6.712514377097695e-15,-2.9421590099332207e-05,99.79982624690963,0,0,6.724467341165762e-15,-0.00014433150026604835,99.79975030501872,0,0,6.792651433352267e-15,-7.594189091264525e-05
2003/4/1 23:30,107.0,95.0,99.7999705784099,0,0,-4.973799150320701e-14,-2.9421590099332207e-05,99.79982624690963,0,0,-5.684341886080802e-14,-0.00014433150026604835,99.79975030501872,0,0,-2.6645352591003757e-14,-7.594189091264525e-05
