DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/27 20:30,0.06357165,0,0,0.0007784,0.05036665,0.0250895,0.00998715,0.10807945,0,0.2578728
2003/9/27 21:00,0.07787475,0,0,0.00078535,0.04858745,0.0844564,0.01016785,0.24467475,0,0.46654655
2003/9/27 21:30,0.0622581,0,0,0.0007784,0.06539255,0.1255031,0.0076311,0.2747613,0,0.53632455
2003/9/27 22:00,0.05209025,0,0,0.0007923,0.057546,0.1191369,0.0144282,0.28456775,0,0.5285614
2003/9/27 22:30,0.0534177,0,0,0.00078535,0.05127015,0.0897106,0.00795775,0.2505058,0,0.45364735
2003/9/27 23:00,0.0517219,0,0,0.0007784,0.0479967,0.09076005,0.0149564,0.26242505,0,0.4686385
2003/9/27 23:30,0.1056539,0,0,0.0007923,0.0635647,0.08622865,0.00815235,0.1803108,0,0.4447027
2003/9/28 0:00,0.1078501,0,0,0.00077145,0.05660775,0.0860271,0.01066825,0.179171,0,0.44109565
2003/9/28 0:30,0.10734275,0,0,0.00078535,0.06059705,0.09126045,0.0318866,0.19238295,0,0.48425515
2003/9/28 1:00,0.1090177,0,0,0.0007923,0.0687077,0.07930645,0.03766205,0.21570715,0,0.51119335
2003/9/28 1:30,0.10951115,0,0,0.0008062,0.0424228,0.0790354,0.0138166,0.2090143,0,0.45460645
2003/9/28 2:00,0.1094903,0,0,0.00081315,0.0863746,0.07855585,0.01075165,0.18198575,0,0.4679713
2003/9/28 2:30,0.107864,0,0,0.0007923,0.08670125,0.0786045,0.0105779,0.1813116,0,0.46585155
2003/9/28 3:00,0.10755125,0,0,0.0007923,0.08200305,0.0746291,0.01011225,0.18184675,0,0.4569347
2003/9/28 3:30,0.10784315,0,0,0.0008062,0.06157005,0.03582725,0.0116621,0.0983425,0,0.31605125
2003/9/28 4:00,0.10834355,0,0,0.0008062,0.0627307,0.0236022,0.0082844,0.0728916,0,0.27665865
2003/9/28 4:30,0.10821845,0,0,0.0008062,0.04708625,0.0235744,0.0107169,0.07257885,0,0.26298105
2003/9/28 5:00,0.10780145,0,0,0.0008062,0.0584773,0.02360915,0.0084651,0.0728221,0,0.2719813
2003/9/28 5:30,0.1075999,0,0,0.0007923,0.0615492,0.02366475,0.01076555,0.07096645,0,0.27533815
2003/9/28 6:00,0.1080169,0,0,0.00081315,0.04779515,0.0236717,0.0084929,0.0632867,0,0.2520765
2003/9/28 6:30,0.1075026,0,0,0.00081315,0.0456476,0.02365085,0.01436565,0.06191755,0,0.2538974
2003/9/28 7:00,0.10691185,0,0,0.0008062,0.0542934,0.02406785,0.0085207,0.06339095,0,0.25799095
2003/9/28 7:30,0.09091295,0,0,0.00078535,0.06227895,0.0236161,0.017653,0.06290445,0,0.2581508
2003/9/28 8:00,0.07788865,0,0,0.0008201,0.0478994,0.0803976,0.34521345,0.06774165,0,0.61996085
2003/9/28 8:30,0.0328735,0,0,0.00078535,0.0790771,0.08318455,0.3162945,0.3780244,0,0.8902394
2003/9/28 9:00,0.01461585,0,0,0.0007645,0.0372659,0.08147485,0.3268585,0.45416165,0,0.91514125
2003/9/28 9:30,0.0143726,0,0,0.0007784,0.052403,0.08674295,0.30201225,0.15671555,0,0.61302475
